set putPlayerInSlot [1,*,*]
:                   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15 :=
MAGNANELLI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MAGNANI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MAJER               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MAKSIMOVIC          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MALCUIT             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MALINOVSKYI         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MANCINIG            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MANCOSU             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MANDRAGORA          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MANDZUKIC           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MANGRAVITI          0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
MANOLAS             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MARCHETTI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MARIORUI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MARLON              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MARONI              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MARRONE             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MARTELLA            0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
MARTINEZL           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MARUSIC             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MASIELLOA           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MATEJU              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MATOS               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MATRI               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MATTIELLO           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MATUIDI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MAZZITELLI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MBAYE               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MECCARIELLO         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MEITE               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MERET               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MERTENS             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MICIN               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MIGUELVELOSO        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MILENKOVIC          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MILIK               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MILINKOVICSAVIC     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MILLI               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MILLICO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MINELLI             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
MIRANTE             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MISSIROLI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MONCINI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MONTIEL             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MOROSINI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MULDUR              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MURGIA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MURIEL              1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MURILLO             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
MURRU               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MUSACCHIO           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MUSSO               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
NAINGGOLAN          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
NANDEZ              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
