"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"BADELJ","1.3874643875","27","6.1851851852","Fiorentina","C","6","4.3947368421","7","7","1","",""
"CATALDI","0.9396551724","29","5.7586206897","Benevento","C","5.5","4.3947368421","3","4","1","",""
"DJIMSITI","0.6333333333","30","5.5666666667","Benevento","D","5.5","4.3947368421","3","2","1","",""
"MATTIELLO","0.2610837438","29","5.7586206897","SPAL","D","6","4.3947368421","8","8","1","",""
"PEROTTI","4.3516666667","25","6.68","Roma","C","6","4.3947368421","15","16","1","",""
"TOMOVIC","0.5818965517","29","5.724137931","Chievo","D","5.5","4.3684210526","7","6","1","",""
"FARIAS","1.9083994709","28","5.9107142857","Cagliari","A","5.75","4.3552631579","11","12","1","",""
"NUYTINCK","0.9729344729","27","6.1296296296","Udinese","D","6","4.3552631579","5","5","1","ME",""
"CANCELO","0.9153846154","26","6.3461538462","Inter","D","6","4.3421052632","14","14","1","",""
"CASTRO","3.5308333333","25","6.52","Chievo","C","6","4.2894736842","11","12","1","",""
"CHIELLINI","0.2446153846","26","6.2307692308","Juventus","D","6","4.2631578947","13","12","1","",""
"FOFANA","2.4707977208","27","5.9814814815","Udinese","C","5.5","4.25","10","9","1","",""
"PALOMINO","0.8753846154","26","6.1538461538","Atalanta","D","6","4.2105263158","6","7","1","",""
"ANSALDI","1.2141666667","25","6.38","Torino","D","6.5","4.1973684211","10","11","1","",""
"BERISHA E","1.1994623656","31","5.1290322581","Atalanta","P","5","4.1842105263","11","12","1","",""
"MARIO RUI","1.5566666667","25","6.34","Napoli","D","6","4.1710526316","7","8","1","",""
"MIRANTE","1.8428030303","33","4.803030303","Bologna","P","5","4.1710526316","1","1","1","",""
"DE MAIO","1.3784615385","26","6.0384615385","Bologna","D","5.75","4.1315789474","6","7","1","",""
"THEREAU","5.1103896104","22","7.0909090909","Fiorentina","A","6","4.1052631579","12","13","1","",""
"VALOTI","3.1584615385","26","5.9615384615","Verona","C","5.5","4.0789473684","4","5","1","",""
"BERNARDESCHI","2.9875541126","22","7.0227272727","Juventus","C","6","4.0657894737","17","16","1","",""
"CALDARA","2.9125905797","24","6.3958333333","Atalanta","D","6","4.0394736842","11","12","1","",""
"NICOLAS","4.1640873016","36","4.2361111111","Verona","P","4","4.0131578947","1","1","1","",""
"BARZAGLI","0.2566666667","25","6.06","Juventus","D","6","3.9868421053","2","3","1","",""
"CERRI","NA","21","NA","NA","A","NA","3.9845116956174933","6","7","1","",""
"COLLEY","NA","21","NA","NA","D","NA","3.9845116956174933","6","7","1","",""
"FERNANDES","NA","21","NA","NA","C","NA","3.9845116956174933","7","7","1","",""
"KLAVAN","NA","21","NA","NA","D","NA","3.9845116956174933","7","7","1","",""
"MALCUIT","NA","21","NA","NA","D","NA","3.9845116956174933","6","7","1","",""
"MARCANO","NA","21","NA","NA","D","NA","3.9845116956174933","6","7","1","",""
"MRAZ","NA","21","NA","NA","A","NA","3.9845116956174933","8","7","1","",""
"PASQUAL","NA","21","NA","NA","D","NA","3.9845116956174933","7","7","1","",""
"SILIGARDI","NA","21","NA","NA","A","NA","3.9845116956174933","7","7","1","",""
"CUADRADO","2.3119047619","21","7.1904761905","Juventus","C","7","3.9736842105","17","18","1","",""
"DI FRANCESCO F","1.0851449275","24","6.2916666667","Bologna","A","6","3.9736842105","13","14","1","",""
"DUNCAN","0.5815384615","26","5.8076923077","Sassuolo","C","5.75","3.9736842105","8","8","1","",""
"OBI","2.6948051948","22","6.8636363636","Torino","C","6","3.9736842105","5","5","1","",""
"GERSON","2.6286231884","24","6.2083333333","Roma","C","6","3.9210526316","12","11","1","",""
"MBAYE","1.1183333333","25","5.92","Bologna","D","6","3.8947368421","4","5","1","",""
"KOWNACKI","2.8939393939","22","6.6818181818","Sampdoria","A","6","3.8684210526","10","11","1","",""
"STEPINSKI","3.4269480519","22","6.6136363636","Chievo","A","6","3.8289473684","13","13","1","",""
"CAPUANO","0.44","25","5.74","Crotone","D","6","3.7763157895","4","5","1","",""
"RIGONI L","2.1106719368","23","6.2391304348","Genoa","C","6","3.7763157895","7","8","1","",""
"JOAO PEDRO","3.2359307359","22","6.4545454545","Cagliari","C","5.75","3.7368421053","12","13","1","",""
"RUGANI","1.4978354978","22","6.4545454545","Juventus","D","6","3.7368421053","7","8","1","",""
"LIROLA","0.3405797101","24","5.8333333333","Sassuolo","D","6","3.6842105263","8","6","1","",""
"FERRARI A","1.2641666667","25","5.58","Verona","D","5.5","3.6710526316","3","4","1","",""
"CRAGNO","3.6878078818","29","4.7931034483","Cagliari","P","5","3.6578947368","8","8","1","",""
"ADNAN","0.3863636364","23","6","Udinese","D","6","3.6315789474","3","3","1","",""
"CAICEDO","2.5649350649","22","6.2727272727","Lazio","A","6","3.6315789474","5","6","1","",""
"MATRI","2.0681818182","23","6","Sassuolo","A","6","3.6315789474","2","3","1","",""
"BASTOS","2.5976190476","21","6.5476190476","Lazio","D","6","3.6184210526","8","8","1","",""
"PISACANE","0.4995471014","24","5.7291666667","Cagliari","D","5.75","3.6184210526","3","4","1","",""
"GOBBI","0.5416666667","24","5.7083333333","Chievo","D","5.75","3.6052631579","3","2","1","",""
"BIRASCHI","0.4160079051","23","5.9347826087","Genoa","D","6","3.5921052632","6","6","1","",""
"COSTA F","0.3932806324","23","5.9347826087","SPAL","D","6","3.5921052632","3","4","1","",""
"BERENGUER","1.3187229437","22","6.1590909091","Torino","C","6","3.5657894737","5","5","1","",""
"ROSSETTINI","0.5276679842","23","5.8695652174","Genoa","D","6","3.5526315789","6","5","1","",""
"SCHICK","1.8446969697","22","6.0227272727","Roma","A","6","3.4868421053","17","17","1","",""
"CALABRIA","1.7654761905","21","6.2619047619","Milan","D","6","3.4605263158","7","6","1","",""
"ANDREOLLI","0.3577075099","23","5.6956521739","Cagliari","D","6","3.4473684211","3","4","1","",""
"BENATIA","1.6026315789","20","6.55","Juventus","D","6.5","3.4473684211","9","10","1","",""
"ACQUAH","0.6737012987","22","5.9318181818","Torino","C","6","3.4342105263","5","4","1","",""
"GOSENS","0.8642857143","21","6.2142857143","Atalanta","D","6","3.4342105263","7","7","1","",""
"CACERES","2.8947368421","20","6.5","Lazio","D","6","3.4210526316","5","5","1","",""
"MORETTI","0.3555194805","22","5.8863636364","Torino","D","6","3.4078947368","3","3","1","",""
"PUCCIARELLI","1.6174242424","22","5.8863636364","Chievo","A","5.5","3.4078947368","3","4","1","",""
