,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
148,148,706,"D","ANSALDI","Torino",24,6.38,6.77,4.27578947368421,"ANSALDI",706,"E","Torino",15,15,0,12.4454051156341
95,95,418,"D","GOLDANIGA","Frosinone",29,5.57,5.6,4.27368421052632,"GOLDANIGA",418,"Dc","Sassuolo",4,4,0,12.4254334741603
200,200,2038,"A","PINAMONTI","Frosinone",25,5.8,6.48,4.26315789473684,"PINAMONTI",2038,"Pc","Genoa",20,19,1,12.3255752667911
357,357,,,,,,,,4.24480734971594,"DOUGLASCOSTA",2200,"W","Juventus",14,14,0,12.1514922764379
358,358,,,,,,,,4.24480734971594,"ALEXSANDRO",662,"Ds;E","Juventus",14,14,0,12.1514922764379
359,359,,,,,,,,4.24480734971594,"GODIN",2572,"Dc","Inter",14,14,0,12.1514922764379
360,360,,,,,,,,4.24480734971594,"DELIGT",4428,"Dc","Juventus",14,14,0,12.1514922764379
361,361,,,,,,,,4.24480734971594,"ROMAGNOLIA",460,"Dc","Milan",14,14,0,12.1514922764379
362,362,,,,,,,,4.24480734971594,"MANCINIG",2296,"Dc","Roma",14,14,0,12.1514922764379
363,363,,,,,,,,4.24480734971594,"RABIOT",2379,"C","Juventus",14,14,0,12.1514922764379
69,69,329,"D","RADU","Lazio",28,5.8,5.75,4.23684210526316,"RADU",329,"Ds;Dc","Lazio",8,7,1,12.0759297483683
14,14,111,"C","BIRSA","Cagliari",26,5.88,6.17,4.22157894736842,"BIRSA",111,"T","Cagliari",7,7,0,11.931135347683
150,150,713,"C","DZEMAILI","Bologna",27,5.8,5.87,4.17078947368421,"DZEMAILI",713,"C;T","Bologna",8,8,0,11.449319497127
116,116,526,"C","DUNCAN","Sassuolo",24,6.1,6.6,4.16842105263158,"DUNCAN",526,"M;C","Sassuolo",10,10,0,11.4268514004689
65,65,315,"A","ZAZA","Torino",26,5.69,6.08,4.16,"ZAZA",315,"Pc","Torino",13,12,1,11.3469648345736
304,304,2832,"C","BOGA","Sassuolo",24,6.15,6.56,4.14315789473684,"BOGA",2832,"W;A","Sassuolo",14,14,0,11.187191702783
33,33,184,"C","BERNARDESCHI","Juventus",25,6.04,6.26,4.11842105263158,"BERNARDESCHI",184,"W;A","Juventus",20,20,0,10.9525249154655
244,244,2280,"D","NUYTINCK","Udinese",27,5.87,5.76,4.09263157894737,"NUYTINCK",2280,"Dc","Udinese",4,4,0,10.7078723074111
98,98,453,"P","SZCZESNY","Juventus",28,6.14,5.54,4.0821052631579,"SZCZESNY",453,"Por","Juventus",17,17,0,10.6080141000421
364,364,,,,,,,,4.029664642425,"PAULOPEZ",4419,"Por","Roma",13,14,-1,10.1105345939693
365,365,,,,,,,,4.029664642425,"ANDRESILVA",2175,"Pc","Milan",13,13,0,10.1105345939693
366,366,,,,,,,,4.029664642425,"DICARMINE",4500,"Pc","Verona",13,13,0,10.1105345939693
367,367,,,,,,,,4.029664642425,"DEVRIJ",322,"Dc","Inter",13,13,0,10.1105345939693
368,368,,,,,,,,4.029664642425,"PELLEGRINILO",530,"C;T","Roma",13,13,0,10.1105345939693
369,369,,,,,,,,4.029664642425,"SANSONEN",537,"A","Bologna",13,12,1,10.1105345939693
170,170,1869,"D","PISACANE","Cagliari",26,5.83,5.87,4.01631578947368,"PISACANE",1869,"Dd;Ds;Dc","Cagliari",5,5,0,9.98390030398485
233,233,2201,"A","UNDER","Roma",23,5.96,6.59,3.98868421052632,"UNDER",2201,"W;A","Roma",19,18,1,9.72177250964095
285,285,2779,"A","KLUIVERT","Roma",24,5.88,6.21,3.92210526315789,"KLUIVERT",2779,"W","Roma",17,17,0,9.09016934803108
75,75,357,"D","CALABRIA","Milan",25,5.9,5.96,3.92105263157895,"CALABRIA",357,"Dd;E","Milan",9,9,0,9.08018352729425
57,57,288,"D","CHIELLINI","Juventus",23,6.35,6.46,3.91,"CHIELLINI",288,"Dc","Juventus",15,14,1,8.97533240955662
0,0,4,"P","SPORTIELLO","Frosinone",35,6.11,4.21,3.87763157894737,"SPORTIELLO",4,"Por","Atalanta",1,1,0,8.66826842189654
228,228,2188,"C","MARUSIC","Lazio",25,5.8,5.88,3.86842105263158,"MARUSIC",2188,"E","Lazio",5,5,0,8.58089249044854
260,260,2625,"C","SORIANO","Bologna",24,5.9,6.1,3.85263157894737,"SORIANO",2625,"T","Bologna",13,13,0,8.43110517939484
183,183,1958,"A","CAPRARI","Sampdoria",21,6,6.93,3.82973684210526,"CAPRARI",1958,"A","Sampdoria",13,14,-1,8.21391357836692
370,370,,,,,,,,3.81452193513405,"DIFRANCESCOF",1857,"W","SPAL",12,11,1,8.06957691150081
371,371,,,,,,,,3.81452193513405,"TORREGROSSA",4453,"Pc","Brescia",12,12,0,8.06957691150081
372,372,,,,,,,,3.81452193513405,"DEROON",22,"M;C","Atalanta",12,12,0,8.06957691150081
373,373,,,,,,,,3.81452193513405,"LOCATELLIM",827,"M;C","Sassuolo",12,12,0,8.06957691150081
374,374,,,,,,,,3.81452193513405,"NANDEZ",4514,"M;C","Cagliari",12,12,0,8.06957691150081
375,375,,,,,,,,3.81452193513405,"DANILO",4237,"Dd;Ds;E","Juventus",12,12,0,8.06957691150081
264,264,2692,"A","CASTILLEJO","Milan",22,5.95,6.55,3.79210526315789,"CASTILLEJO",2692,"W;A","Milan",10,10,0,7.85692048702224
20,20,140,"D","HYSAJ","Napoli",25,5.76,5.76,3.78947368421053,"HYSAJ",140,"Dd;Ds;E","Napoli",7,7,0,7.83195593518004
270,270,2746,"D","DIJKS","Bologna",24,6,5.98,3.77684210526316,"DIJKS",2746,"Ds;E","Bologna",8,8,0,7.71212608633706
234,234,2205,"C","BERENGUER","Torino",22,6.09,6.43,3.72263157894737,"BERENGUER",2205,"W","Torino",8,8,0,7.197856318386
314,314,2860,"D","MALCUIT","Napoli",23,6.11,6.15,3.72236842105263,"MALCUIT",2860,"Dd;E","Napoli",8,8,0,7.19535986320174
208,208,2104,"D","BERESZYNSKI","Sampdoria",25,5.66,5.6,3.68421052631579,"BERESZYNSKI",2104,"Dd;E","Sampdoria",6,6,0,6.83337386148864
293,293,2792,"P","MUSSO","Udinese",29,6.26,4.81,3.67078947368421,"MUSSO",2792,"Por","Udinese",10,9,1,6.70605464709299
168,168,1866,"D","CEPPITELLI","Cagliari",24,5.92,5.81,3.66947368421053,"CEPPITELLI",1866,"Dc","Cagliari",7,7,0,6.69357237117188
209,209,2116,"D","FARAGO'","Cagliari",24,5.83,5.81,3.66947368421053,"FARAGO",2116,"E;C","Cagliari",4,4,0,6.69357237117188
42,42,245,"A","PANDEV","Genoa",21,6.05,6.6,3.64736842105263,"PANDEV",245,"T;A","Genoa",11,11,0,6.48387013569665
7,7,50,"D","MBAYE","Bologna",23,5.8,5.96,3.60736842105263,"MBAYE",50,"Dd;Ds;E","Bologna",6,6,0,6.10440894769393
24,24,150,"C","SAPONARA","Sampdoria",21,6.12,6.52,3.60315789473684,"SAPONARA",150,"T","Genoa",11,11,0,6.06446566474627
376,376,,,,,,,,3.59937922784311,"OBIANG",4501,"M;C","Sassuolo",11,11,0,6.02861922903227
377,377,,,,,,,,3.59937922784311,"DILORENZO",2816,"Dd;E","Napoli",11,11,0,6.02861922903227
378,378,,,,,,,,3.59937922784311,"SMALLING",4245,"Dc","Roma",11,11,0,6.02861922903227
379,379,,,,,,,,3.59937922784311,"MALINOVSKYI",4427,"C;T","Atalanta",11,11,0,6.02861922903227
380,380,,,,,,,,3.59937922784311,"TRAOREHJ",2857,"C;T","Sassuolo",11,11,0,6.02861922903227
190,190,1995,"C","DJURICIC","Sassuolo",22,5.82,6.07,3.51421052631579,"DJURICIC",1995,"T","Sassuolo",4,4,0,5.22066381247709
117,117,528,"C","MAGNANELLI","Sassuolo",23,5.87,5.76,3.48631578947368,"MAGNANELLI",528,"M","Sassuolo",5,5,0,4.95603956294884
2,2,20,"C","CIGARINI","Cagliari",23,5.87,5.72,3.46210526315789,"CIGARINI",20,"M;C","Cagliari",7,7,0,4.72636568599981
110,110,507,"A","MURIEL","Fiorentina",19,6,6.92,3.46,"MURIEL",507,"Pc","Atalanta",19,17,2,4.70639404452603
146,146,695,"D","TOLOI","Atalanta",21,6.07,6.19,3.42078947368421,"TOLOI",695,"Dc","Atalanta",10,10,0,4.334422222076
184,184,1974,"A","SCHICK","Roma",21,5.81,6.17,3.40973684210526,"SCHICK",1974,"Pc","Roma",12,12,0,4.22957110433838
156,156,787,"D","DJIMSITI","Atalanta",22,5.84,5.86,3.39263157894737,"DJIMSITI",787,"Dc","Atalanta",8,8,0,4.06730151736358
381,381,,,,,,,,3.38423652055217,"NESTOROVSKI",1943,"Pc","Udinese",10,10,0,3.98766154656374
382,382,,,,,,,,3.38423652055217,"BISOLI",4445,"M;C","Brescia",10,10,0,3.98766154656374
383,383,,,,,,,,3.38423652055217,"LUCASLEIVA",2209,"M;C","Lazio",10,10,0,3.98766154656374
384,384,,,,,,,,3.38423652055217,"DESILVESTRI",487,"Dd;E","Torino",10,10,0,3.98766154656374
385,385,,,,,,,,3.38423652055217,"SCHONE",4512,"C","Genoa",10,10,0,3.98766154656374
158,158,790,"D","SAMIR","Udinese",21,5.88,6.05,3.34342105263158,"SAMIR",790,"Ds;Dc","Udinese",8,7,1,3.60046439791286
210,210,2120,"D","BASTONI","Parma",21,5.95,6.05,3.34342105263158,"BASTONI",2120,"Dc","Inter",4,4,0,3.60046439791286
312,312,2854,"C","BRADARIC","Cagliari",23,5.65,5.5,3.32894736842105,"BRADARIC",2854,"M;C","Cagliari",4,4,0,3.46315936278025
28,28,170,"C","BADELJ","Lazio",22,5.82,5.73,3.31736842105263,"BADELJ",170,"M;C","Fiorentina",6,6,0,3.35331533467422
242,242,2274,"C","VALOTI","SPAL",21,5.86,6,3.31578947368421,"VALOTI",2274,"C;T","SPAL",6,6,0,3.33833660356886
288,288,2784,"D","COLLEY","Sampdoria",21,5.93,5.88,3.24947368421053,"COLLEY",2784,"Dc","Sampdoria",7,7,0,2.70922989714334
239,239,2246,"A","CERAVOLO","Parma",22,5.45,5.57,3.22473684210526,"CERAVOLO",2246,"Pc","Parma",3,3,0,2.4745631098258
255,255,2334,"A","LERIS","Chievo",22,5.59,5.52,3.19578947368421,"LERIS",2334,"C;W","Sampdoria",5,5,0,2.1999530395607
386,386,,,,,,,,3.16909381326123,"LAMANTIA",4477,"Pc","Lecce",9,9,0,1.9467038640952
387,387,,,,,,,,3.16909381326123,"PAZZINI",636,"Pc","Verona",9,9,0,1.9467038640952
388,388,,,,,,,,3.16909381326123,"LAZARO",4385,"E","Inter",9,9,0,1.9467038640952
389,389,,,,,,,,3.16909381326123,"ZAPPACOSTA",554,"Dd;E","Roma",9,9,0,1.9467038640952
390,390,,,,,,,,3.16909381326123,"PEZZELLAGER",2309,"Dc","Fiorentina",9,10,-1,1.9467038640952
391,391,,,,,,,,3.16909381326123,"ROMEROC",4307,"Dc","Genoa",9,9,0,1.9467038640952
392,392,,,,,,,,3.16909381326123,"VAVRO",4397,"Dc","Lazio",9,9,0,1.9467038640952
393,393,,,,,,,,3.16909381326123,"BRUNOALVES",1864,"Dc","Parma",9,9,0,1.9467038640952
394,394,,,,,,,,3.16909381326123,"FERRARIG",1895,"Dc","Sassuolo",9,9,0,1.9467038640952
395,395,,,,,,,,3.16909381326123,"RODRIGOBECAO",4412,"Dc","Udinese",9,7,2,1.9467038640952
396,396,,,,,,,,3.16909381326123,"DUARTE",4511,"Dc","Milan",9,9,0,1.9467038640952
397,397,,,,,,,,3.16909381326123,"ZACCAGNI",632,"C;T","Verona",9,9,0,1.9467038640952
398,398,,,,,,,,3.16909381326123,"SKOVOLSEN",4415,"A","Bologna",9,9,0,1.9467038640952
269,269,2744,"C","SVANBERG","Bologna",21,5.67,5.71,3.15552631578947,"SVANBERG",2744,"C","Bologna",3,3,0,1.81799539637373
307,307,2836,"P","OLSEN","Roma",27,6,4.41,3.13342105263158,"OLSEN",2836,"Por","Cagliari",1,1,0,1.60829316089859
3,3,21,"C","D'ALESSANDRO","Udinese",20,5.95,5.92,3.11578947368421,"DALESSANDRO",21,"E","SPAL",7,7,0,1.44103066355527
