"","Name","VarianceFantasyEvaluation","PlayedMatches","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price","MantraRole","MeanFantasyEvaluation"
"130","CASTILLEJO",NA,38,NA,"A",NA,6.0697261987,15,16,NA,"",NA,"A",5.83333333333333
"131","CASTILLEJO",NA,38,NA,"A",NA,6.0697261987,15,16,NA,"",NA,"W",5.83333333333333
"132","CASTRO",3.5308333333,25,"Chievo","C",6,4.2894736842,11,12,NA,"",NA,"T",6.43103448275862
"133","CASTRO",3.5308333333,25,"Chievo","C",6,4.2894736842,11,12,NA,"",NA,"C",6.43103448275862
"134","CATALDI",0.9396551724,29,"Benevento","C",5.5,4.3947368421,3,4,NA,"",NA,"M",5.76666666666667
"135","CATALDI",0.9396551724,29,"Benevento","C",5.5,4.3947368421,3,4,NA,"",NA,"C",5.76666666666667
"136","CECCHERINI",1.0671921922,37,"Crotone","D",6,5.75,5,6,NA,"BRYAN",11,"Dd",5.90540540540541
"137","CECCHERINI",1.0671921922,37,"Crotone","D",6,5.75,5,6,NA,"BRYAN",11,"Dc",5.90540540540541
"138","CEPPITELLI",1.9294871795,27,"Cagliari","D",6,4.4605263158,7,8,NA,"",NA,"Dc",6.25
"139","CERAVOLO",NA,1,"Benevento","A",5.5,0.1447368421,9,10,NA,"",NA,"Pc",5.5
"140","CERRI",NA,21,NA,"A",NA,3.9845116956,6,7,NA,"",NA,"Pc",5.25
"141","CESAR",0.3027777778,10,"Chievo","D",5.75,1.4605263158,1,1,NA,"",NA,"Dc",5.55
"142","CHIBSAH",0.4903846154,14,"Benevento","C",5,1.9342105263,4,3,NA,"",NA,"C",5.36842105263158
"143","CHIBSAH",0.4903846154,14,"Benevento","C",5,1.9342105263,4,3,NA,"",NA,"M",5.36842105263158
"144","CHIELLINI",0.2446153846,26,"Juventus","D",6,4.2631578947,13,12,NA,"",NA,"Dc",6.28333333333333
"145","CHIESA",2.6196428571,36,"Fiorentina","C",6.5,6.5131578947,24,23,NA,"",NA,"W",7.0125
"146","CHIESA",2.6196428571,36,"Fiorentina","C",6.5,6.5131578947,24,23,NA,"",NA,"A",7.0125
"147","CHIRICHES",0.1547619048,7,"Napoli","D",5.5,1.0657894737,2,3,NA,"",NA,"Dc",5.78571428571429
"148","CIANO",NA,37,NA,"A",NA,4.9909204044,10,10,NA,"",NA,"A",5.5
"149","CICIRETTI",2.384469697,12,"Benevento","C",6,2.0657894737,11,12,NA,"",NA,"T",6.54166666666667
"150","CICIRETTI",2.384469697,12,"Benevento","C",6,2.0657894737,11,12,NA,"",NA,"W",6.54166666666667
"151","CIGARINI",2.1984615385,26,"Cagliari","C",6,4.0789473684,6,7,NA,"BRYAN",6,"M",5.93103448275862
"152","CIGARINI",2.1984615385,26,"Cagliari","C",6,4.0789473684,6,7,NA,"BRYAN",6,"C",5.93103448275862
"153","CIONEK",0.9452380952,15,"SPAL","D",6.5,2.5131578947,9,9,NA,"",NA,"Dc",6.225
"154","COLLEY",NA,21,NA,"D",NA,3.9845116956,6,7,NA,"",NA,"Dc",5.75
"155","CONSIGLI",4.6336336336,37,"Sassuolo","P",5,4.6315789474,9,9,NA,"",NA,"Por",4.72619047619048
"156","CONTI",0.125,2,"Milan","D",6.25,0.3289473684,6,7,NA,"",NA,"E",6.25
"157","CONTI",0.125,2,"Milan","D",6.25,0.3289473684,6,7,NA,"",NA,"Dd",6.25
"158","CORREA",NA,35,NA,"C",NA,5.4248756564,12,12,NA,"",NA,"T",6.125
"159","CORREA",NA,35,NA,"C",NA,5.4248756564,12,12,NA,"",NA,"A",6.125
"160","COSTA F",0.3932806324,23,"SPAL","D",6,3.5921052632,3,4,NA,"",NA,"E",5.9375
"161","COSTA F",0.3932806324,23,"SPAL","D",6,3.5921052632,3,4,NA,"",NA,"Ds",5.9375
"162","CRAGNO",3.6878078818,29,"Cagliari","P",5,3.6578947368,8,8,NA,"",NA,"Por",4.77941176470588
"163","CRISCITO",NA,30,NA,"D",NA,4.7231839663,9,9,NA,"",NA,"Dc",6.625
"164","CRISCITO",NA,30,NA,"D",NA,4.7231839663,9,9,NA,"",NA,"Ds",6.625
"165","CRISETIG",0.0714285714,8,"Bologna","C",5.75,1.2105263158,5,5,NA,"",NA,"M",5.75
"166","CRISETIG",0.0714285714,8,"Bologna","C",5.75,1.2105263158,5,5,NA,"",NA,"C",5.75
"167","CRISTANTE",4.3117063492,36,"Atalanta","C",6,6.4868421053,17,18,NA,"",NA,"C",6.76829268292683
"168","CRISTANTE",4.3117063492,36,"Atalanta","C",6,6.4868421053,17,18,NA,"",NA,"T",6.76829268292683
"169","CRISTIANO RONALDO",NA,33,NA,"A",NA,8.5762325955,45,49,NA,"BRYAN",60,"Pc",7.9
"170","CUADRADO",2.3119047619,21,"Juventus","C",7,3.9736842105,17,18,NA,"",NA,"W",6.96
"171","CUTRONE",6.8237433862,28,"Milan","A",6,5.3552631579,17,17,NA,"",NA,"Pc",7.31666666666667
"172","D'ALESSANDRO",1.2625,16,"Benevento","C",6.25,2.7105263158,3,3,NA,"",NA,"W",6.36111111111111
"173","D'AMBROSIO",1.4699197861,34,"Inter","D",6,5.5394736842,7,8,NA,"ME",6,"Ds",6.11538461538461
"174","D'AMBROSIO",1.4699197861,34,"Inter","D",6,5.5394736842,7,8,NA,"ME",6,"E",6.11538461538461
"175","D'AMBROSIO",1.4699197861,34,"Inter","D",6,5.5394736842,7,8,NA,"ME",6,"Dd",6.11538461538461
"176","DA COSTA",1.5625,4,"Bologna","P",5.25,0.5394736842,1,1,NA,"",NA,"Por",5.125
"177","DA CRUZ",NA,10,NA,"A",NA,1.5935300604,5,5,NA,"",NA,"A",5.25
"178","DABO",2.1777777778,10,"Fiorentina","C",6,1.6315789474,7,7,NA,"",NA,"C",6.19230769230769
