,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
244,244,2280,"D","NUYTINCK","Udinese",27,5.87,5.76,4.09263157894737,"NUYTINCK",2280,"Dc","Udinese",4,4,0,11.4425883687682
98,98,453,"P","SZCZESNY","Juventus",28,6.14,5.54,4.0821052631579,"SZCZESNY",453,"Por","Juventus",17,17,0,20.5830922186599
364,364,,,,,,,,4.029664642425,"PAULOPEZ",4419,"Por","Roma",13,14,-1,20.1064738388907
365,365,,,,,,,,4.029664642425,"ANDRESILVA",2175,"Pc","Milan",13,13,0,0.818644787201955
366,366,,,,,,,,4.029664642425,"DICARMINE",4500,"Pc","Verona",13,13,0,0.818644787201955
367,367,,,,,,,,4.029664642425,"DEVRIJ",322,"Dc","Inter",13,13,0,10.8702991997063
368,368,,,,,,,,4.029664642425,"PELLEGRINILO",530,"C;T","Roma",13,13,0,7.16584485437521
369,369,,,,,,,,4.029664642425,"SANSONEN",537,"A","Bologna",13,12,1,8.99510835202372
170,170,1869,"D","PISACANE","Cagliari",26,5.83,5.87,4.01631578947368,"PISACANE",1869,"Dd;Ds;Dc","Cagliari",5,5,0,2.37827247561896
233,233,2201,"A","UNDER","Roma",23,5.96,6.59,3.98868421052632,"UNDER",2201,"W;A","Roma",19,18,1,-4.76348159931857
285,285,2779,"A","KLUIVERT","Roma",24,5.88,6.21,3.92210526315789,"KLUIVERT",2779,"W","Roma",17,17,0,3.56534026362722
75,75,357,"D","CALABRIA","Milan",25,5.9,5.96,3.92105263157895,"CALABRIA",357,"Dd;E","Milan",9,9,0,11.6184011320507
57,57,288,"D","CHIELLINI","Juventus",23,6.35,6.46,3.91,"CHIELLINI",288,"Dc","Juventus",15,14,1,9.78270017453923
0,0,4,"P","SPORTIELLO","Frosinone",35,6.11,4.21,3.87763157894737,"SPORTIELLO",4,"Por","Atalanta",1,1,0,18.7246871366485
228,228,2188,"C","MARUSIC","Lazio",25,5.8,5.88,3.86842105263158,"MARUSIC",2188,"E","Lazio",5,5,0,1.2225748954874
260,260,2625,"C","SORIANO","Bologna",24,5.9,6.1,3.85263157894737,"SORIANO",2625,"T","Bologna",13,13,0,7.01189925648101
183,183,1958,"A","CAPRARI","Sampdoria",21,6,6.93,3.82973684210526,"CAPRARI",1958,"A","Sampdoria",13,14,-1,7.17801955849955
370,370,,,,,,,,3.81452193513405,"DIFRANCESCOF",1857,"W","SPAL",12,11,1,2.58754498248318
371,371,,,,,,,,3.81452193513405,"TORREGROSSA",4453,"Pc","Brescia",12,12,0,-1.13672811142253
372,372,,,,,,,,3.81452193513405,"DEROON",22,"M;C","Atalanta",12,12,0,6.45959724863793
373,373,,,,,,,,3.81452193513405,"LOCATELLIM",827,"M;C","Sassuolo",12,12,0,6.45959724863793
374,374,,,,,,,,3.81452193513405,"NANDEZ",4514,"M;C","Cagliari",12,12,0,6.45959724863793
375,375,,,,,,,,3.81452193513405,"DANILO",4237,"Dd;Ds;E","Juventus",12,12,0,12.3205025479866
264,264,2692,"A","CASTILLEJO","Milan",22,5.95,6.55,3.79210526315789,"CASTILLEJO",2692,"W;A","Milan",10,10,0,-6.55013358936045
20,20,140,"D","HYSAJ","Napoli",25,5.76,5.76,3.78947368421053,"HYSAJ",140,"Dd;Ds;E","Napoli",7,7,0,12.0928458840423
270,270,2746,"D","DIJKS","Bologna",24,6,5.98,3.77684210526316,"DIJKS",2746,"Ds;E","Bologna",8,8,0,11.021799770831
234,234,2205,"C","BERENGUER","Torino",22,6.09,6.43,3.72263157894737,"BERENGUER",2205,"W","Torino",8,8,0,1.75237880652998
314,314,2860,"D","MALCUIT","Napoli",23,6.11,6.15,3.72236842105263,"MALCUIT",2860,"Dd;E","Napoli",8,8,0,9.81261498415028
208,208,2104,"D","BERESZYNSKI","Sampdoria",25,5.66,5.6,3.68421052631579,"BERESZYNSKI",2104,"Dd;E","Sampdoria",6,6,0,9.46580837296414
293,293,2792,"P","MUSSO","Udinese",29,6.26,4.81,3.67078947368421,"MUSSO",2792,"Por","Udinese",10,9,1,16.8447561270463
168,168,1866,"D","CEPPITELLI","Cagliari",24,5.92,5.81,3.66947368421053,"CEPPITELLI",1866,"Dc","Cagliari",7,7,0,7.5966226392003
209,209,2116,"D","FARAGO'","Cagliari",24,5.83,5.81,3.66947368421053,"FARAGO",2116,"E;C","Cagliari",4,4,0,-9.27528302193048
42,42,245,"A","PANDEV","Genoa",21,6.05,6.6,3.64736842105263,"PANDEV",245,"T;A","Genoa",11,11,0,0.927329554579628
7,7,50,"D","MBAYE","Bologna",23,5.8,5.96,3.60736842105263,"MBAYE",50,"Dd;Ds;E","Bologna",6,6,0,10.437741229278
24,24,150,"C","SAPONARA","Sampdoria",21,6.12,6.52,3.60315789473684,"SAPONARA",150,"T","Genoa",11,11,0,4.74450155024319
