"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"466","SALA",0.506410256410256,13,5.61538461538461,"Sampdoria","D",5.5,1.92105263157895
"467","SALAMON",0.398268398268398,22,5.72727272727273,"SPAL","D",6,3.31578947368421
"469","SAMIR",1.19784946236559,31,5.75806451612903,"Udinese","D",5.5,4.69736842105263
"470","SAMPIRISI",0.294623655913978,31,5.69354838709677,"Crotone","D",6,4.64473684210526
"474","SANTON",0.578571428571429,15,5.6,"Inter","D",6,2.21052631578947
"487","SILVA J",0,2,6,"Roma","D",6,0.315789473684211
"488","SILVESTRE",1.02072192513369,34,6.04411764705882,"Sampdoria","D",6,5.4078947368421
"491","SIMIC L",2.16666666666667,6,6.66666666666667,"SPAL","D",6,1.05263157894737
"492","SIMIC S",0.194444444444444,9,5.77777777777778,"Crotone","D",6,1.36842105263158
"496","SKRINIAR",1.64669274537696,38,6.59210526315789,"Inter","D",6.25,6.59210526315789
"498","SOUPRAYEN",0.350649350649351,22,5.27272727272727,"Verona","D",5,3.05263157894737
"500","SPARANDEO",NA,1,5,"Benevento","D",5,0.131578947368421
"502","SPOLLI",0.383333333333333,21,6.16666666666667,"Genoa","D",6.5,3.40789473684211
"508","STRINIC",0.733455882352941,17,6.02941176470588,"Sampdoria","D",6,2.69736842105263
"510","STRYGER LARSEN",0.466954022988506,30,5.91666666666667,"Udinese","D",6,4.67105263157895
"517","TOLOI",0.606451612903226,31,6.33870967741935,"Atalanta","D",6.5,5.17105263157894
"518","TOMOVIC",0.581896551724138,29,5.72413793103448,"Chievo","D",5.5,4.36842105263158
"519","TONELLI",5.5625,4,6.125,"Napoli","D",5.5,0.644736842105263
"521","TOROSIDIS",0.165625,16,5.78125,"Bologna","D",6,2.43421052631579
"524","TOSCA",0.58974358974359,13,5.61538461538461,"Benevento","D",5.5,1.92105263157895
"530","VAISANEN",0.452380952380952,7,5.57142857142857,"SPAL","D",5.5,1.02631578947368
"533","VAN DER WIEL",0.425,5,5.6,"Cagliari","D",6,0.736842105263158
"535","VENUTI",0.606989247311828,31,5.40322580645161,"Benevento","D",5.5,4.4078947368421
"540","VICARI",0.513368983957219,34,5.82352941176471,"SPAL","D",5.75,5.21052631578948
"544","VITOR HUGO",1.51608187134503,19,6.10526315789474,"Fiorentina","D",6,3.05263157894737
"548","VUKOVIC",2.07857142857143,15,5.9,"Verona","D",5.5,2.32894736842105
"549","WAGUE",NA,1,5,"Udinese","D",5,0.131578947368421
"550","WALLACE",0.442307692307692,13,5.73076923076923,"Lazio","D",6,1.96052631578947
"551","WIDMER",2.12998188405797,24,6.27083333333333,"Udinese","D",6,3.96052631578947
"553","ZAMPANO",2.075,6,6.25,"Udinese","D",5.75,0.986842105263158
"555","ZAPATA C",0.674242424242424,12,6.08333333333333,"Milan","D",6.25,1.92105263157895
"557","ZAPPACOSTA",0.125,2,5.75,"Torino","D",5.75,0.302631578947368
"563","ZUKANOVIC",0.416666666666667,31,6,"Genoa","D",6,4.89473684210526
