"Squadra","Avversario","Day","SquadraCasa"
"Udinese","Atalanta",31,0
"Atalanta","Udinese",31,1
"Atalanta","Spal",32,0
"Spal","Atalanta",32,1
"Bologna","Crotone",32,0
"Crotone","Bologna",32,1
"Cagliari","Verona",32,0
"Verona","Cagliari",32,1
"Chievo","Napoli",32,0
"Napoli","Chievo",32,1
"Fiorentina","Roma",32,0
"Roma","Fiorentina",32,1
"Genoa","Sampdoria",32,0
"Sampdoria","Genoa",32,1
"Inter","Torino",32,0
"Torino","Inter",32,1
"Juventus","Benevento",32,0
"Benevento","Juventus",32,1
"Lazio","Udinese",32,0
"Udinese","Lazio",32,1
"Sassuolo","Milan",32,0
"Milan","Sassuolo",32,1
"Benevento","Sassuolo",33,0
"Sassuolo","Benevento",33,1
"Crotone","Genoa",33,0
"Genoa","Crotone",33,1
"Verona","Bologna",33,0
"Bologna","Verona",33,1
"Inter","Atalanta",33,0
"Atalanta","Inter",33,1
"Napoli","Milan",33,0
"Milan","Napoli",33,1
"Roma","Lazio",33,0
"Lazio","Roma",33,1
"Sampdoria","Juventus",33,0
"Juventus","Sampdoria",33,1
"Spal","Fiorentina",33,0
"Fiorentina","Spal",33,1
"Torino","Chievo",33,0
"Chievo","Torino",33,1
"Udinese","Cagliari",33,0
"Cagliari","Udinese",33,1
"Atalanta","Benevento",34,0
"Benevento","Atalanta",34,1
"Bologna","Sampdoria",34,0
"Sampdoria","Bologna",34,1
"Cagliari","Inter",34,0
"Inter","Cagliari",34,1
"Chievo","Spal",34,0
"Spal","Chievo",34,1
"Genoa","Roma",34,0
"Roma","Genoa",34,1
"Juventus","Crotone",34,0
"Crotone","Juventus",34,1
"Lazio","Fiorentina",34,0
"Fiorentina","Lazio",34,1
"Milan","Torino",34,0
"Torino","Milan",34,1
"Sassuolo","Verona",34,0
"Verona","Sassuolo",34,1
"Udinese","Napoli",34,0
"Napoli","Udinese",34,1
"Benevento","Milan",35,0
"Milan","Benevento",35,1
"Bologna","Cagliari",35,0
"Cagliari","Bologna",35,1
"Crotone","Udinese",35,0
"Udinese","Crotone",35,1
"Fiorentina","Sassuolo",35,0
"Sassuolo","Fiorentina",35,1
"Verona","Genoa",35,0
"Genoa","Verona",35,1
"Inter","Chievo",35,0
"Chievo","Inter",35,1
"Napoli","Juventus",35,0
"Juventus","Napoli",35,1
"Roma","Spal",35,0
"Spal","Roma",35,1
"Sampdoria","Lazio",35,0
"Lazio","Sampdoria",35,1
"Torino","Atalanta",35,0
"Atalanta","Torino",35,1
"Cagliari","Sampdoria",36,0
"Sampdoria","Cagliari",36,1
"Chievo","Roma",36,0
"Roma","Chievo",36,1
"Genoa","Atalanta",36,0
"Atalanta","Genoa",36,1
"Juventus","Inter",36,0
"Inter","Juventus",36,1
"Lazio","Torino",36,0
"Torino","Lazio",36,1
"Milan","Bologna",36,0
"Bologna","Milan",36,1
"Napoli","Fiorentina",36,0
"Fiorentina","Napoli",36,1
"Sassuolo","Crotone",36,0
"Crotone","Sassuolo",36,1
"Spal","Verona",36,0
"Verona","Spal",36,1
"Udinese","Benevento",36,0
"Benevento","Udinese",36,1
"Atalanta","Lazio",37,0
"Lazio","Atalanta",37,1
"Benevento","Spal",37,0
"Spal","Benevento",37,1
"Bologna","Juventus",37,0
"Juventus","Bologna",37,1
"Crotone","Chievo",37,0
"Chievo","Crotone",37,1
"Fiorentina","Genoa",37,0
"Genoa","Fiorentina",37,1
"Verona","Milan",37,0
"Milan","Verona",37,1
"Inter","Udinese",37,0
"Udinese","Inter",37,1
"Roma","Cagliari",37,0
"Cagliari","Roma",37,1
"Sampdoria","Sassuolo",37,0
"Sassuolo","Sampdoria",37,1
"Torino","Napoli",37,0
"Napoli","Torino",37,1
"Cagliari","Fiorentina",38,0
"Fiorentina","Cagliari",38,1
"Chievo","Bologna",38,0
"Bologna","Chievo",38,1
"Genoa","Benevento",38,0
"Benevento","Genoa",38,1
"Juventus","Roma",38,0
"Roma","Juventus",38,1
