"","Name","MantraRole","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"259","DOUGLAS COSTA","W",2.247311828,31,7.2258064516,"Juventus","C",6.5,5.8947368421,24,24,1,"GATTI",20
"260","DRAGOWSKI","Por",5.3333333333,3,2.8333333333,"Fiorentina","P",1.5,0.2236842105,2,1,1,"",NA
"261","DUNCAN","C",0.5815384615,26,5.8076923077,"Sassuolo","C",5.75,3.9736842105,8,8,1,"",NA
"262","DUNCAN","M",0.5815384615,26,5.8076923077,"Sassuolo","C",5.75,3.9736842105,8,8,1,"",NA
"263","DURMISI","Ds",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"264","DURMISI","E",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"265","DYBALA","A",17.4105113636,33,8.3636363636,"Juventus","A",6.5,7.2631578947,33,36,1,"VE",30
"266","DZEKO","Pc",8.8259920635,36,7.6527777778,"Roma","A",6,7.25,34,35,1,"GATTI",21
"267","DZEMAILI","T",1.4357142857,15,6.1,"Bologna","C",6,2.4078947368,11,13,1,"",NA
"268","DZEMAILI","C",1.4357142857,15,6.1,"Bologna","C",6,2.4078947368,11,13,1,"",NA
"269","EDERA","A",1.1607142857,14,6.3928571429,"Torino","A",6,2.3552631579,3,4,1,"",NA
"270","EKDAL","C",NA,31,NA,NA,"C",NA,4.40015620343502,8,8,1,"",NA
"271","EKDAL","M",NA,31,NA,NA,"C",NA,4.40015620343502,8,8,1,"",NA
"272","EL SHAARAWY","A",4.3285984848,33,6.7121212121,"Roma","A",6,5.8289473684,15,16,1,"ME",12
"273","EVERTON LUIZ","M",0.2545454545,11,5.8636363636,"SPAL","C",6,1.6973684211,6,6,1,"",NA
"274","EVERTON LUIZ","C",0.2545454545,11,5.8636363636,"SPAL","C",6,1.6973684211,6,6,1,"",NA
"275","EYSSERIC","T",1.0476190476,21,6.119047619,"Fiorentina","C",6,3.3815789474,9,8,1,"",NA
"276","EYSSERIC","W",1.0476190476,21,6.119047619,"Fiorentina","C",6,3.3815789474,9,8,1,"",NA
"277","FALCINELLI","Pc",1.318296371,32,5.890625,"Fiorentina","A",5.5,4.9605263158,15,16,1,"",NA
"278","FARAGO'","Dd",3.7261904762,7,7.6428571429,"Cagliari","D",7.5,1.4078947368,4,4,1,"",NA
"279","FARAGO'","E",3.7261904762,7,7.6428571429,"Cagliari","D",7.5,1.4078947368,4,4,1,"",NA
"280","FARES","E",0.3862068966,30,5.4,"Verona","C",5.5,4.2631578947,4,5,1,"BRYAN",2
"281","FARIAS","A",1.9083994709,28,5.9107142857,"Cagliari","A",5.75,4.3552631579,11,12,1,"",NA
"282","FAVILLI","Pc",NA,37,NA,NA,"A",NA,4.99092040443647,10,10,1,"",NA
"283","FAZIO","Dc",1.2230392157,34,6.3382352941,"Roma","D",6.25,5.6710526316,11,11,1,"ME",12
"284","FELIPE","Dc",1.2876436782,30,5.8833333333,"SPAL","D",6,4.6447368421,6,6,1,"",NA
"285","FERNANDES","C",NA,21,NA,NA,"C",NA,3.98451169561749,7,7,1,"",NA
"286","FERRARI A","Dd",1.2641666667,25,5.58,"Verona","D",5.5,3.6710526316,3,4,1,"",NA
"287","FERRARI A","Dc",1.2641666667,25,5.58,"Verona","D",5.5,3.6710526316,3,4,1,"",NA
"288","FERRARI G","Dc",1.7704022989,30,5.8833333333,"Sampdoria","D",5.75,4.6447368421,10,8,1,"",NA
"289","FLOCCARI","Pc",3.5947368421,20,6.4,"SPAL","A",6,3.3684210526,4,5,1,"",NA
"290","FLORENZI","E",1.5393145161,32,6.15625,"Roma","D",6,5.1842105263,14,14,1,"BRYAN",10
"291","FLORENZI","Dd",1.5393145161,32,6.15625,"Roma","D",6,5.1842105263,14,14,1,"BRYAN",10
"292","FOFANA","C",2.4707977208,27,5.9814814815,"Udinese","C",5.5,4.25,10,9,1,"",NA
"293","FOFANA","M",2.4707977208,27,5.9814814815,"Udinese","C",5.5,4.25,10,9,1,"",NA
"294","FRATTALI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"295","FREULER","C",2.4966386555,35,6.6571428571,"Atalanta","C",6,6.1315789474,16,16,1,"ME",6
"296","FULIGNATI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"297","FUZATO","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"298","GAGLIARDINI","M",0.2540229885,30,5.7666666667,"Inter","C",6,4.5526315789,6,7,1,"",NA
"299","GAGLIARDINI","C",0.2540229885,30,5.7666666667,"Inter","C",6,4.5526315789,6,7,1,"",NA
"300","GAGLIOLO","Ds",NA,21,NA,NA,"D",NA,3.37178786018851,7,6,1,"",NA
"301","GAGLIOLO","Dc",NA,21,NA,NA,"D",NA,3.37178786018851,7,6,1,"",NA
"302","GAZZOLA","Dd",0.1944444444,9,5.7777777778,"Sassuolo","D",6,1.3684210526,4,5,1,"",NA
"303","GAZZOLA","E",0.1944444444,9,5.7777777778,"Sassuolo","D",6,1.3684210526,4,5,1,"",NA
"304","GERSON","C",2.6286231884,24,6.2083333333,"Roma","C",6,3.9210526316,12,11,1,"",NA
"305","GERSON","T",2.6286231884,24,6.2083333333,"Roma","C",6,3.9210526316,12,11,1,"",NA
"306","GERVINHO","A",NA,37,NA,NA,"A",NA,4.99092040443647,11,10,1,"",NA
"307","GHIDOTTI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"308","GHIGLIONE","Dd",NA,1,NA,NA,"D",NA,0,2,2,1,"",NA
"309","GHIGLIONE","E",NA,1,NA,NA,"D",NA,0,2,2,1,"",NA
"310","GHOULAM","Ds",4.1045454545,11,7.3636363636,"Napoli","D",6.5,2.1315789474,8,9,1,"",NA
"311","GHOULAM","E",4.1045454545,11,7.3636363636,"Napoli","D",6.5,2.1315789474,8,9,1,"",NA
"312","GIACCHERINI","W",2.8363970588,17,6.6470588235,"Chievo","C",6,2.9736842105,14,14,1,"",NA
"313","GIACCHERINI","T",2.8363970588,17,6.6470588235,"Chievo","C",6,2.9736842105,14,14,1,"",NA
"314","GOBBI","E",0.5416666667,24,5.7083333333,"Chievo","D",5.75,3.6052631579,3,2,1,"",NA
"315","GOBBI","Ds",0.5416666667,24,5.7083333333,"Chievo","D",5.75,3.6052631579,3,2,1,"",NA
"316","GOLLINI","Por",1,7,5.5,"Atalanta","P",6,1.0131578947,1,1,1,"",NA
"317","GOMEZ A","A",3.9294507576,33,6.9848484848,"Atalanta","A",6.5,6.0657894737,24,23,1,"BRYAN",20
"318","GOMIS A","Por",2.8538461538,26,4.5769230769,"SPAL","P",4.5,3.1315789474,4,1,1,"",NA
"319","GONZALEZ G","Dc",0.6174242424,22,5.6136363636,"Bologna","D",5.5,3.25,6,6,1,"",NA
"320","GORI","M",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"321","GORI","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"322","GOSENS","E",0.8642857143,21,6.2142857143,"Atalanta","D",6,3.4342105263,7,7,1,"",NA
"323","GOSENS","Ds",0.8642857143,21,6.2142857143,"Atalanta","D",6,3.4342105263,7,7,1,"",NA
"324","GRAICIAR","Pc",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"325","GRASSI","C",1.6058201058,28,6.4285714286,"SPAL","C",6,4.7368421053,9,9,1,"",NA
"326","GUERRIERI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"327","GUNTER","Dc",NA,1,NA,NA,"D",NA,0,3,3,1,"",NA
"328","HALILOVIC","T",NA,1,NA,NA,"C",NA,0,1,2,1,"",NA
"329","HALLFREDSSON","M",0.3669590643,19,5.8157894737,"Udinese","C",6,2.9078947368,2,3,1,"",NA
"330","HALLFREDSSON","C",0.3669590643,19,5.8157894737,"Udinese","C",6,2.9078947368,2,3,1,"",NA
"331","HAMSIK","C",2.9345661451,38,6.6052631579,"Napoli","C",6,6.6052631579,14,15,1,"ME",15
"332","HAMSIK","T",2.9345661451,38,6.6052631579,"Napoli","C",6,6.6052631579,14,15,1,"ME",15
"333","HANCKO","Ds",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"334","HANCKO","Dc",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"335","HANDANOVIC","Por",1.3513513514,38,5.5,"Inter","P",5.75,5.5,15,16,1,"ME",28
"336","HELANDER","Dc",0.3552955665,29,5.8620689655,"Bologna","D",6,4.4736842105,7,7,1,"ME",1
"337","HETEMAJ","M",1.9798387097,32,6.3125,"Chievo","C",6,5.3157894737,5,6,1,"ME",1
"338","HETEMAJ","E",1.9798387097,32,6.3125,"Chievo","C",6,5.3157894737,5,6,1,"ME",1
"339","HIGUAIN","Pc",8.3962184874,35,7.5285714286,"Juventus","A",6.5,6.9342105263,32,33,1,"BRYAN",23
"340","HILJEMARK","C",0.8285714286,15,6.1,"Genoa","C",6,2.4078947368,6,6,1,"",NA
"341","HYSAJ","E",0.2785714286,35,5.9714285714,"Napoli","D",6,5.5,9,9,1,"",NA
"342","HYSAJ","Ds",0.2785714286,35,5.9714285714,"Napoli","D",6,5.5,9,9,1,"",NA
"343","HYSAJ","Dd",0.2785714286,35,5.9714285714,"Napoli","D",6,5.5,9,9,1,"",NA
"344","IACOBUCCI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"345","IACOPONI","Dd",NA,1,NA,NA,"D",NA,0,2,2,1,"",NA
"346","IACOPONI","Dc",NA,1,NA,NA,"D",NA,0,2,2,1,"",NA
"347","IAGO FALQUE","A",5.0743243243,37,7.3108108108,"Torino","A",6,7.1184210526,25,25,1,"ME",18
"348","ICARDI","Pc",18.5231729055,34,8.8529411765,"Inter","A",9.5,7.9210526316,37,39,1,"ME",51
"349","ICHAZO","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"350","ILICIC","T",8.3962365591,31,7.7903225806,"Atalanta","C",6.5,6.3552631579,24,26,1,"ME",2
"351","ILICIC","A",8.3962365591,31,7.7903225806,"Atalanta","C",6.5,6.3552631579,24,26,1,"ME",2
"352","IMMOBILE","Pc",20.2357954545,33,9.2727272727,"Lazio","A",8.5,8.0526315789,39,41,1,"VE",45
"353","INGELSSON","C",2.2380952381,7,6.2142857143,"Udinese","C",6,1.1447368421,1,1,1,"",NA
"354","INGELSSON","W",2.2380952381,7,6.2142857143,"Udinese","C",6,1.1447368421,1,1,1,"",NA
"355","INGLESE","Pc",6.1737967914,34,6.9117647059,"Chievo","A",5.75,6.1842105263,14,13,1,"",NA
"356","INSIGNE","A",3.9808558559,37,7.2567567568,"Napoli","A",6.5,7.0657894737,26,27,1,"VE",30
"357","IONITA","T",0.2339285714,36,5.7916666667,"Cagliari","C",5.75,5.4868421053,8,9,1,"",NA
"358","IONITA","C",0.2339285714,36,5.7916666667,"Cagliari","C",5.75,5.4868421053,8,9,1,"",NA
"359","IZZO","Dc",1.05,16,6.125,"Genoa","D",6,2.5789473684,9,9,1,"",NA
"360","IZZO","Dd",1.05,16,6.125,"Genoa","D",6,2.5789473684,9,9,1,"",NA
"361","JAKUPOVIC","Pc",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"362","JANKTO","C",2.8593253968,36,6.4305555556,"Udinese","C",6,6.0921052632,14,15,1,"",NA
"363","JAROSZYNSKI","E",0.3136363636,11,5.6818181818,"Chievo","D",6,1.6447368421,4,5,1,"",NA
"364","JAROSZYNSKI","Ds",0.3136363636,11,5.6818181818,"Chievo","D",6,1.6447368421,4,5,1,"",NA
"365","JOAO MARIO","C",0.3791208791,14,6.0714285714,"Inter","C",6,2.2368421053,3,3,1,"",NA
"366","JOAO MARIO","T",0.3791208791,14,6.0714285714,"Inter","C",6,2.2368421053,3,3,1,"",NA
"367","JOAO PEDRO","T",3.2359307359,22,6.4545454545,"Cagliari","C",5.75,3.7368421053,12,13,1,"",NA
"368","JUAN JESUS","Dc",0.4464285714,22,5.75,"Roma","D",6,3.3289473684,6,7,1,"",NA
"369","JUAN JESUS","Ds",0.4464285714,22,5.75,"Roma","D",6,3.3289473684,6,7,1,"",NA
"370","JUNIOR TAVARES","E",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"371","JUNIOR TAVARES","Ds",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"372","KARNEZIS","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"373","KARSDORP","E",NA,1,5.5,"Roma","D",5.5,0.1447368421,5,6,1,"",NA
"374","KARSDORP","Dd",NA,1,5.5,"Roma","D",5.5,0.1447368421,5,6,1,"",NA
"375","KATUMA","E",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"376","KATUMA","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"377","KEAN","Pc",5.1725146199,19,6.3157894737,"Verona","A",5.5,3.1578947368,6,7,1,"",NA
"378","KEITA B","A",NA,33,NA,"Inter","A",NA,6.44528834949885,18,19,1,"GATTI",12
"379","KESSIE'","M",3.6174924925,37,6.2972972973,"Milan","C",6,6.1315789474,12,11,1,"",NA
"380","KESSIE'","C",3.6174924925,37,6.2972972973,"Milan","C",6,6.1315789474,12,11,1,"",NA
"381","KHEDIRA","C",9.5834615385,26,7.2884615385,"Juventus","C",6,4.9868421053,19,18,1,"GATTI",16
"382","KIYINE","C",NA,1,NA,NA,"C",NA,0,3,3,1,"",NA
"383","KIYINE","W",NA,1,NA,NA,"C",NA,0,3,3,1,"",NA
"384","KIYINE","T",NA,1,NA,NA,"C",NA,0,3,3,1,"",NA
"385","KLAVAN","Dc",NA,21,NA,NA,"D",NA,3.98451169561749,7,7,1,"",NA
"386","KLUIVERT","A",NA,35,NA,NA,"A",NA,6.32743049589528,18,18,1,"",NA
"387","KOLAROV","Ds",1.637394958,35,6.6285714286,"Roma","D",6.5,6.1052631579,16,17,1,"",NA
"388","KOLAROV","E",1.637394958,35,6.6285714286,"Roma","D",6.5,6.1052631579,16,17,1,"",NA
"389","KOUAME'","Pc",NA,1,NA,NA,"A",NA,0,5,3,1,"",NA
"390","KOULIBALY","Dc",2.5785714286,35,6.7285714286,"Napoli","D",6.5,6.1973684211,15,17,1,"BRYAN",17
"391","KOWNACKI","Pc",2.8939393939,22,6.6818181818,"Sampdoria","A",6,3.8684210526,10,11,1,"",NA
"392","KRAJNC","Dc",NA,1,NA,NA,"D",NA,0,4,4,1,"",NA
"393","KREJCI","W",0.1571969697,12,5.7083333333,"Bologna","C",6,1.8026315789,4,5,1,"",NA
"394","KRUNIC","T",NA,30,NA,NA,"C",NA,4.72318396627123,10,9,1,"",NA
"395","KRUNIC","C",NA,30,NA,NA,"C",NA,4.72318396627123,10,9,1,"",NA
"396","KULUSEVSKI","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"397","KULUSEVSKI","T",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"398","KURTIC","C",1.791954023,30,6.0333333333,"SPAL","C",5.5,4.7631578947,10,9,1,"",NA
"399","KURTIC","T",1.791954023,30,6.0333333333,"SPAL","C",5.5,4.7631578947,10,9,1,"",NA
"400","LA GUMINA","Pc",NA,35,NA,NA,"A",NA,5.42487565640231,11,12,1,"",NA
"401","LAFONT","Por",NA,37,NA,NA,"P",NA,4.99092040443647,10,10,1,"",NA
"402","LAKICEVIC","E",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"403","LAKICEVIC","Dd",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"404","LAPADULA","Pc",2.7337962963,28,6.375,"Genoa","A",5.5,4.6973684211,11,12,1,"VE",6
"405","LASAGNA","Pc",NA,29,7.4655172414,"Udinese","A",6.5,5.6973684211,20,22,1,"",NA
"406","LAURINI","Dd",0.3376623377,22,5.8636363636,"Fiorentina","D",6,3.3947368421,2,3,1,"",NA
"407","LAURINI","E",0.3376623377,22,5.8636363636,"Fiorentina","D",6,3.3947368421,2,3,1,"",NA
"408","LAXALT","E",1.8324092742,32,6.328125,"Genoa","C",6,5.3289473684,9,9,1,"",NA
"409","LAZOVIC","C",0.2369047619,21,6.0238095238,"Genoa","C",6,3.3289473684,5,5,1,"",NA
"410","LAZOVIC","E",0.2369047619,21,6.0238095238,"Genoa","C",6,3.3289473684,5,5,1,"",NA
"411","LAZZARI M","E",1.2285714286,36,6.3333333333,"SPAL","C",6.5,6,11,10,1,"",NA
"412","LEMOS","Dc",3.8392857143,8,6.125,"Sassuolo","D",6.25,1.2894736842,6,7,1,"",NA
"413","LERIS","A",0.25,4,5.75,"Chievo","A",6,0.6052631579,1,1,1,"",NA
"414","LEVERBE","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"415","LINETTY","C",1.8275862069,29,6.4482758621,"Sampdoria","C",6,4.9210526316,7,6,1,"",NA
"416","LIROLA","E",0.3405797101,24,5.8333333333,"Sassuolo","D",6,3.6842105263,8,6,1,"",NA
"417","LIROLA","Dd",0.3405797101,24,5.8333333333,"Sassuolo","D",6,3.6842105263,8,6,1,"",NA
"418","LISANDRO LOPEZ","Dc",NA,1,5.5,"Inter","D",5.5,0.1447368421,6,7,1,"",NA
"419","LOCATELLI M","C",0.0976190476,21,5.9523809524,"Milan","C",6,3.2894736842,7,7,1,"",NA
"420","LOCATELLI M","M",0.0976190476,21,5.9523809524,"Milan","C",6,3.2894736842,7,7,1,"",NA
"421","LOLLO","C",NA,1,NA,NA,"C",NA,0,3,4,1,"",NA
"422","LOMBARDI","W",0.5606617647,17,5.8235294118,"Benevento","A",6,2.6052631579,2,3,1,"",NA
"423","LOMBARDI","A",0.5606617647,17,5.8235294118,"Benevento","A",6,2.6052631579,2,3,1,"",NA
"424","LUCAS LEIVA","C",0.935515873,36,6.5138888889,"Lazio","C",6.5,6.1710526316,11,12,1,"",NA
"425","LUCAS LEIVA","M",0.935515873,36,6.5138888889,"Lazio","C",6.5,6.1710526316,11,12,1,"",NA
"426","LUIS ALBERTO","A",7.0073529412,34,7.5147058824,"Lazio","C",6.5,6.7236842105,27,27,1,"VE",20
"427","LUIS ALBERTO","T",7.0073529412,34,7.5147058824,"Lazio","C",6.5,6.7236842105,27,27,1,"VE",20
"428","LUIZ FELIPE","Dc",0.4060457516,18,5.8611111111,"Lazio","D",6,2.7763157895,7,8,1,"",NA
"429","LUKAKU J","E",0.9781609195,30,6.2666666667,"Lazio","D",6,4.9473684211,4,5,1,"",NA
"430","LUKIC","C",NA,1,NA,NA,"C",NA,0,1,2,1,"",NA
"431","LULIC","E",2.2878151261,35,6.3571428571,"Lazio","C",6,5.8552631579,11,11,1,"",NA
"432","LULIC","C",2.2878151261,35,6.3571428571,"Lazio","C",6,5.8552631579,11,11,1,"",NA
"433","LUPERTO","Dc",NA,1,NA,NA,"D",NA,0,2,2,1,"",NA
"434","LUPERTO","Ds",NA,1,NA,NA,"D",NA,0,2,2,1,"",NA
"435","LYANCO","Dc",0.5,4,6,"Torino","D",6.25,0.6315789474,5,6,1,"",NA
"436","LYKOGIANNIS","Ds",0.4409090909,11,6.0909090909,"Cagliari","D",6,1.7631578947,4,5,1,"",NA
"437","LYKOGIANNIS","E",0.4409090909,11,6.0909090909,"Cagliari","D",6,1.7631578947,4,5,1,"",NA
"438","MACHIS","A",NA,35,NA,NA,"A",NA,5.42487565640231,12,12,1,"",NA
"439","MAGNANELLI","M",0.3545866935,32,5.765625,"Sassuolo","C",6,4.8552631579,5,5,1,"",NA
"440","MAGNANELLI","C",0.3545866935,32,5.765625,"Sassuolo","C",6,4.8552631579,5,5,1,"",NA
"441","MAGNANI","Dc",NA,1,NA,NA,"D",NA,0,3,2,1,"",NA
"442","MAIELLO","C",NA,10,NA,NA,"C",NA,1.59353006044804,6,5,1,"",NA
"443","MAIETTA","Dc",0.2380952381,7,6.2857142857,"Bologna","D",6.5,1.1578947368,5,5,1,"",NA
"444","MAKSIMOVIC","Dc",0,2,6,"Napoli","D",6,0.3157894737,3,4,1,"",NA
"445","MALCUIT","E",NA,21,NA,NA,"D",NA,3.98451169561749,6,7,1,"",NA
"446","MALCUIT","Dd",NA,21,NA,NA,"D",NA,3.98451169561749,6,7,1,"",NA
"447","MANCINI G","Dc",2.0045454545,11,6.1363636364,"Atalanta","D",6,1.7763157895,8,8,1,"",NA
"448","MANDRAGORA","C",1.2253968254,36,6.0555555556,"Crotone","C",6,5.7368421053,9,9,1,"BRYAN",5
"449","MANDRAGORA","M",1.2253968254,36,6.0555555556,"Crotone","C",6,5.7368421053,9,9,1,"BRYAN",5
"450","MANDZUKIC","Pc",2.8941532258,32,6.40625,"Juventus","A",6,5.3947368421,20,18,1,"",NA
"451","MANOLAS","Dc",1.3318965517,29,6.224137931,"Roma","D",6,4.75,12,12,1,"BRYAN",17
"452","MARCANO","Dc",NA,21,NA,NA,"D",NA,3.98451169561749,6,7,1,"",NA
"453","MARCHETTI","Por",NA,37,NA,NA,"P",NA,4.99092040443647,9,10,1,"",NA
"454","MARCJANIK","Dc",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"455","MARIO RUI","Ds",1.5566666667,25,6.34,"Napoli","D",6,4.1710526316,7,8,1,"",NA
"456","MARIO RUI","E",1.5566666667,25,6.34,"Napoli","D",6,4.1710526316,7,8,1,"",NA
"457","MARLON","Dc",NA,31,NA,NA,"D",NA,4.40015620343502,7,8,1,"",NA
"458","MARTINEZ L","Pc",NA,37,NA,NA,"A",NA,6.20259248185932,16,17,1,"",NA
"459","MARUSIC","E",1.8346774194,32,6.4375,"Lazio","C",6,5.4210526316,9,9,1,"",NA
"460","MASIELLO A","Dc",1.9365591398,31,6.6451612903,"Atalanta","D",6.5,5.4210526316,13,14,1,"",NA
"461","MASIELLO A","Dd",1.9365591398,31,6.6451612903,"Atalanta","D",6.5,5.4210526316,13,14,1,"",NA
"462","MATRI","Pc",2.0681818182,23,6,"Sassuolo","A",6,3.6315789474,2,3,1,"",NA
"463","MATTIELLO","E",0.2610837438,29,5.7586206897,"SPAL","D",6,4.3947368421,8,8,1,"",NA
"464","MATUIDI","M",1.4586693548,32,6.40625,"Juventus","C",6,5.3947368421,16,15,1,"BRYAN",15
"465","MATUIDI","C",1.4586693548,32,6.40625,"Juventus","C",6,5.3947368421,16,15,1,"BRYAN",15
"466","MAURI J","M",NA,1,6,"Milan","C",6,0.1578947368,1,1,1,"",NA
"467","MAURI J","C",NA,1,6,"Milan","C",6,0.1578947368,1,1,1,"",NA
"468","MAZZITELLI","M",0.4809210526,20,5.825,"Sassuolo","C",6,3.0657894737,6,6,1,"",NA
"469","MAZZITELLI","C",0.4809210526,20,5.825,"Sassuolo","C",6,3.0657894737,6,6,1,"",NA
"470","MBAYE","Ds",1.1183333333,25,5.92,"Bologna","D",6,3.8947368421,4,5,1,"",NA
"471","MBAYE","Dc",1.1183333333,25,5.92,"Bologna","D",6,3.8947368421,4,5,1,"",NA
"472","MBAYE","Dd",1.1183333333,25,5.92,"Bologna","D",6,3.8947368421,4,5,1,"",NA
"473","MCHEDLIDZE","Pc",NA,10,NA,NA,"A",NA,1.59353006044804,4,5,1,"",NA
"474","MEDEIROS","A",3.1181818182,11,6.7272727273,"Genoa","A",6,1.9473684211,10,11,1,"",NA
"475","MEDEIROS","T",3.1181818182,11,6.7272727273,"Genoa","A",6,1.9473684211,10,11,1,"",NA
"476","MEGGIORINI","A",0.1952380952,15,5.5333333333,"Chievo","A",5.5,2.1842105263,5,6,1,"",NA
"477","MEITE'","C",NA,1,NA,NA,"C",NA,0,6,3,1,"",NA
"478","MEITE'","M",NA,1,NA,NA,"C",NA,0,6,3,1,"",NA
"479","MERET","Por",4.4423076923,13,5.7307692308,"SPAL","P",6,1.9605263158,13,14,1,"",NA
"480","MERTENS","A",10.0094238976,38,7.7236842105,"Napoli","A",6.25,7.7236842105,30,31,1,"BRYAN",30
"481","MICIN","A",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"482","MILENKOVIC","Dd",0.3666666667,16,5.75,"Fiorentina","D",6,2.4210526316,8,6,1,"ME",4
"483","MILENKOVIC","Dc",0.3666666667,16,5.75,"Fiorentina","D",6,2.4210526316,8,6,1,"ME",4
"484","MILIK","Pc",4.6857142857,15,7.1,"Napoli","A",6,2.8026315789,26,26,1,"GATTI",20
"485","MILINKOVIC-SAVIC","T",6.5117647059,35,7.6,"Lazio","C",6.5,7,28,30,1,"ME",32
"486","MILINKOVIC-SAVIC","C",6.5117647059,35,7.6,"Lazio","C",6.5,7,28,30,1,"ME",32
"487","MILINKOVIC-SAVIC V","Por",NA,1,5,"Torino","P",5,0.1315789474,7,8,1,"",NA
"488","MINALA","M",NA,1,NA,NA,"C",NA,0,1,2,1,"",NA
"489","MINALA","C",NA,1,NA,NA,"C",NA,0,1,2,1,"",NA
"490","MIRALLAS","A",NA,36,NA,NA,"A",NA,5.77425714782098,13,14,1,"",NA
"491","MIRANDA","Dc",0.2655913978,31,6.0322580645,"Inter","D",6,4.9210526316,6,7,1,"",NA
"492","MIRANTE","Por",1.8428030303,33,4.803030303,"Bologna","P",5,4.1710526316,1,1,1,"ME",1
"493","MISSIROLI","C",0.7176470588,35,6.1,"Sassuolo","C",6,5.6184210526,7,6,1,"",NA
"494","MOLINARO","E",0.4861842105,20,5.775,"Torino","D",6,3.0394736842,7,7,1,"",NA
"495","MOLINARO","Ds",0.4861842105,20,5.775,"Torino","D",6,3.0394736842,7,7,1,"",NA
"496","MONCINI","Pc",NA,1,NA,NA,"A",NA,0,2,3,1,"",NA
"497","MONTOLIVO","M",1.1903594771,18,6.0277777778,"Milan","C",6,2.8552631579,3,4,1,"",NA
"498","MONTOLIVO","C",1.1903594771,18,6.0277777778,"Milan","C",6,2.8552631579,3,4,1,"",NA
"499","MORETTI","Ds",0.3555194805,22,5.8863636364,"Torino","D",6,3.4078947368,3,3,1,"",NA
"500","MORETTI","Dc",0.3555194805,22,5.8863636364,"Torino","D",6,3.4078947368,3,3,1,"",NA
"501","MRAZ","Pc",NA,21,NA,NA,"A",NA,3.98451169561749,8,7,1,"",NA
"502","MUNARI","M",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"503","MUNARI","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"504","MURGIA","M",0.1989583333,16,5.78125,"Lazio","C",6,2.4342105263,2,3,1,"",NA
"505","MURGIA","C",0.1989583333,16,5.78125,"Lazio","C",6,2.4342105263,2,3,1,"",NA
"506","MURRU","E",0.4598684211,20,5.725,"Sampdoria","D",5.75,3.0131578947,6,6,1,"",NA
"507","MURRU","Ds",0.4598684211,20,5.725,"Sampdoria","D",5.75,3.0131578947,6,6,1,"",NA
"508","MUSACCHIO","Dc",0.4238095238,15,5.5666666667,"Milan","D",5.5,2.1973684211,5,5,1,"",NA
"509","MUSSO","Por",NA,31,NA,NA,"P",NA,4.40015620343502,7,8,1,"",NA
"510","N'KOULOU","Dc",1.2304804805,37,6.2297297297,"Torino","D",6,6.0657894737,13,12,1,"ME",10
"511","NAGY","C",1.4015151515,12,6.0833333333,"Bologna","C",6,1.9210526316,3,4,1,"",NA
"512","NAGY","M",1.4015151515,12,6.0833333333,"Bologna","C",6,1.9210526316,3,4,1,"",NA
"513","NICOLAS","Por",4.1640873016,36,4.2361111111,"Verona","P",4,4.0131578947,1,1,1,"",NA
"514","NORGAARD","M",NA,10,NA,NA,"C",NA,1.59353006044804,5,5,1,"",NA
"515","NORGAARD","C",NA,10,NA,NA,"C",NA,1.59353006044804,5,5,1,"",NA
"516","NUYTINCK","Dc",0.9729344729,27,6.1296296296,"Udinese","D",6,4.3552631579,5,5,1,"",NA
"517","NZONZI","M",NA,33,NA,NA,"C",NA,5.2214092515681,10,11,1,"",NA
