"","Group.1","x","presenze[, 2]"
"506","STOIAN",0.369959677419355,32
"507","STRAKOSHA",0.293207681365576,38
"508","STRINIC",0.476102941176471,17
"509","STROOTMAN",0.326360887096774,32
"510","STRYGER LARSEN",0.28764367816092,30
"511","STURARO",0.0662878787878788,12
"512","SUSO",0.751260504201681,35
"513","SZCZESNY",0.152573529411765,17
"514","TAARABT",0.571428571428571,22
"515","TAIDER",0.0902777777777778,9
"516","THEREAU",0.452380952380952,22
"517","TOLOI",0.236559139784946,31
"518","TOMOVIC",0.581896551724138,29
"519","TONELLI",1.0625,4
"520","TONEV",0.125,8
"521","TOROSIDIS",0.165625,16
"522","TORRASI",NA,1
"523","TORREIRA",0.597420634920635,36
"524","TOSCA",0.58974358974359,13
"525","TROTTA",0.541889483065954,34
"526","TUDOR",0.416666666666667,4
"527","TUMMINELLO",0.113888888888889,10
"528","TUPTA",0.125,2
"529","UNDER",0.506153846153846,26
"530","VAISANEN",0.452380952380952,7
"531","VALDIFIORI",0.224358974358974,13
"532","VALOTI",0.366153846153846,26
"533","VAN DER WIEL",0.425,5
"534","VECINO",0.387931034482759,29
"535","VENUTI",0.599462365591398,31
"536","VERDE",0.337931034482759,30
"537","VERDI",0.501782531194296,34
"538","VERETOUT",0.559325396825397,36
"539","VERRE",0.0882352941176471,18
"540","VICARI",0.441176470588235,34
"541","VIDO",0.0625,4
"542","VIOLA",0.505434782608696,24
"543","VITALE",0,2
"544","VITOR HUGO",0.524853801169591,19
"545","VIVIANI",0.387931034482759,29
"546","VIVIANO",0.41951566951567,27
"547","VOLPICELLI",NA,1
"548","VUKOVIC",0.65952380952381,15
"549","WAGUE",NA,1
"550","WALLACE",0.442307692307692,13
"551","WIDMER",0.358242753623188,24
"552","ZACCAGNI",0.175,6
"553","ZAMPANO",0.541666666666667,6
"554","ZANELLATO",NA,1
"555","ZAPATA C",0.674242424242424,12
"556","ZAPATA D",0.712903225806452,31
"557","ZAPPACOSTA",0.125,2
"558","ZEKHNINI",NA,1
"559","ZENGA",0.760869565217391,23
"560","ZIELINSKI",0.333928571428571,36
"561","ZUCULINI B",0.9,16
"562","ZUCULINI F",0.0727272727272727,11
"563","ZUKANOVIC",0.448924731182796,31
